upc,wmt_item_nbr,Each_dim_x,Each_dim_y,Each_dim_z,weight_per_unit,whpk_qty,case_qty
1878777532,1878777532,9.00,3.30,3.30,2.30,1.00,75
7874218937,7874218937,5.72,4.75,4.63,1.41,6.00,62
68113108750,68113108750,4.50,2.50,2.50,0.30,3.00,139
3320097235,3320097235,10.32,3.58,2.61,1.67,4.00,76
1840031251,1840031251,5.20,4.00,2.50,1.10,6.00,64
30065036158,30065036158,4.00,2.75,1.94,0.20,4.00,46
7874201461,7874201461,7.50,2.20,2.20,0.60,6.00,88
2420001134,2420001134,10.77,9.05,6.34,10.50,4.00,55
85714100498,85714100498,5.00,4.20,3.20,1.20,3.00,149
68113107155,68113107155,4.50,2.00,2.00,0.40,3.00,136
3000032136,3000032136,8.81,5.44,2.31,1.08,12.00,119
1600015762,1600015762,11.85,7.70,2.10,1.23,6.00,11
68113128016,68113128016,3.44,1.75,1.75,0.11,4.00,86
30045083837,30045083837,4.69,2.63,2.63,0.49,3.00,105
68113105002,68113105002,10.25,3.78,2.76,1.17,3.00,121
4110058191,4110058191,6.94,3.94,3.94,1.62,4.00,102
7874213321,7874213321,8.75,6.30,2.45,0.96,6.00,70
3700097056,3700097056,10.00,4.29,2.40,2.00,8.00,109
7535314682,7535314682,24.50,10.00,2.50,8.20,4.00,94
31254717162,31254717162,5.00,3.50,1.20,0.10,6.00,22
7261345522,7261345522,10.31,8.19,4.41,6.60,3.00,65
1101740960,1101740960,4.00,3.00,3.00,2.00,6.00,30
8392624300,8392624300,4.00,3.00,3.00,2.00,4.00,75
4200015969,4200015969,10.08,10.08,4.99,4.63,2.00,104
3700081687,3700081687,7.60,7.52,4.29,0.79,3.00,123
68113107172,68113107172,5.20,2.90,2.90,0.72,2.00,20
68113106513,68113106513,17.00,11.50,2.87,2.60,2.00,62
7502005183,7502005183,7.87,5.12,2.76,0.61,2.00,61
89844000102,89844000102,5.00,3.00,2.25,0.30,3.00,119
1600046813,1600046813,11.00,8.25,1.80,0.88,8.00,138
3927832200,3927832200,5.50,5.00,0.75,0.15,6.00,96
2310011081,2310011081,6.75,5.00,4.10,1.11,4.00,55
3600051406,3600051406,9.92,7.44,3.66,1.40,2.00,40
4133374064,4133374064,8.00,4.50,0.50,0.40,20.00,112
68113117155,68113117155,5.75,2.75,0.38,0.02,4.00,42
5100015007,5100015007,4.94,3.13,3.13,1.18,12.00,148
2791702268,2791702268,4.85,2.72,2.72,0.50,3.00,32
68113116178,68113116178,4.91,1.44,1.06,0.10,6.00,28
9830800202,9830800202,3.00,3.00,3.00,0.90,6.00,109
88679073895,88679073895,6.13,2.75,2.75,0.69,3.00,7
3000056831,3000056831,9.50,4.75,4.25,1.32,8.00,124
2800046298,2800046298,9.00,3.25,3.00,2.05,8.00,148
1111107626,1111107626,7.25,4.13,2.50,1.52,12.00,3
31015819788,31015819788,6.56,1.72,1.42,0.28,6.00,40
3700098276,3700098276,12.13,9.84,8.98,3.88,1.00,112
3600049474,3600049474,7.68,4.49,3.66,0.60,4.00,88
7631430213,7631430213,5.56,5.38,4.00,1.60,1.00,21
7418245991,7418245991,9.37,5.51,3.07,3.47,6.00,68
3700093878,3700093878,6.46,6.10,1.77,0.58,4.00,48
75066800702,75066800702,7.70,3.75,1.00,0.14,3.00,111
68113124060,68113124060,4.88,2.50,2.50,0.54,3.00,50
68113100575,68113100575,5.25,3.38,2.75,0.42,3.00,115
7874212264,7874212264,9.00,8.50,2.50,1.80,4.00,66
3600047926,3600047926,9.84,8.86,5.59,2.04,2.00,75
7874213327,7874213327,9.00,6.50,3.25,0.88,6.00,12
4110082033,4110082033,4.50,1.88,1.25,0.08,6.00,108
4110008022,4110008022,4.00,3.00,1.00,0.13,6.00,35
30573288311,30573288311,3.31,2.75,1.50,0.11,6.00,28
8087807179,8087807179,8.50,5.75,2.13,1.98,4.00,29
68113113290,68113113290,18.12,10.79,6.81,6.60,2.00,125
7050101712,7050101712,6.83,2.87,1.61,0.73,3.00,74
4200035503,4200035503,13.00,6.38,6.00,2.30,6.00,114
84004017217,84004017217,9.20,4.00,1.20,0.30,4.00,75
30023182212,30023182212,3.50,1.75,1.13,0.07,6.00,20
4180033700,4180033700,7.00,3.00,2.25,4.45,4.00,39
8596800102,8596800102,20.00,14.00,3.00,21.00,1.00,137
18053000089,18053000089,5.50,4.75,4.50,2.75,3.00,140
3800018257,3800018257,15.63,9.38,3.44,2.64,4.00,45
3700010778,3700010778,11.96,9.09,4.56,8.78,4.00,119
3076818199,3076818199,5.70,5.70,3.00,0.90,3.00,123
1258778685,1258778685,8.36,4.56,4.46,1.93,6.00,109
3600037304,3600037304,7.25,7.25,4.31,0.80,3.00,108
3600001460,3600001460,13.38,8.00,4.01,1.60,2.00,7
30766739964,30766739964,6.13,2.75,2.38,0.73,4.00,126
1920095871,1920095871,9.94,5.14,3.16,2.88,6.00,147
70592860275,70592860275,6.00,3.30,2.40,0.28,2.00,61
4110080604,4110080604,5.00,3.00,1.50,0.05,3.00,52
60538862780,60538862780,4.37,2.31,2.31,0.15,3.00,125
3700071650,3700071650,6.61,4.49,1.26,0.58,6.00,4
4119691113,4119691113,4.45,3.45,3.45,1.19,12.00,139
7261345415,7261345415,10.15,4.95,2.80,0.33,9.00,144
4100000287,4100000287,7.36,6.53,2.53,0.75,6.00,4
4460030713,4460030713,9.50,7.38,5.44,6.15,4.00,128
34658111060,34658111060,4.50,3.20,2.00,0.20,3.00,24
7874221000,7874221000,11.50,6.08,5.50,7.70,6.00,45
5150006824,5150006824,10.80,7.00,1.08,2.40,6.00,118
82927452033,82927452033,8.00,6.20,5.50,5.00,2.00,89
4167967501,4167967501,13.50,9.00,5.85,15.41,1.00,150
4119601095,4119601095,4.45,3.45,3.45,1.19,12.00,77
31031032501,31031032501,4.38,3.75,1.00,0.05,6.00,1
5100001231,5100001231,4.06,2.69,2.69,0.66,12.00,77
7874204618,7874204618,7.10,4.50,2.50,0.75,6.00,42
68113128953,68113128953,5.00,3.38,2.13,0.39,4.00,11
7631430297,7631430297,3.88,2.63,1.88,0.28,3.00,130
4650000037,4650000037,9.05,2.26,2.26,0.07,6.00,44
4116707470,4116707470,4.50,2.50,1.50,0.20,4.00,141
4852600600,4852600600,7.75,5.88,1.50,0.25,4.00,136
7103813000,7103813000,6.50,6.00,4.00,2.30,6.00,55
2800093487,2800093487,6.00,5.20,5.20,2.22,6.00,117
30225052547,30225052547,4.63,2.13,1.00,0.06,6.00,90
68113124064,68113124064,10.13,9.38,4.13,1.37,4.00,7
18629500026,18629500026,3.90,1.50,1.50,0.10,4.00,28
2310027315,2310027315,12.38,9.13,4.25,11.53,1.00,111
2700041924,2700041924,10.88,8.13,2.44,2.77,6.00,43
7874243619,7874243619,4.70,2.70,2.70,0.40,3.00,49
1600014943,1600014943,6.50,6.00,1.75,0.41,6.00,102
7214001945,7214001945,8.03,3.07,1.97,0.44,3.00,136
31284353642,31284353642,4.14,2.76,2.13,0.18,4.00,12
89319800248,89319800248,4.00,3.00,3.00,2.00,4.00,67
7050101350,7050101350,3.29,2.22,1.22,0.25,6.00,12
68113135438,68113135438,5.25,4.38,3.50,0.85,3.00,145
30041010630,30041010630,8.98,2.16,0.98,0.09,6.00,123
1650057428,1650057428,5.81,2.68,2.68,0.65,3.00,36
31254703436,31254703436,7.10,2.43,1.77,0.36,6.00,87
7940058853,7940058853,9.25,3.16,3.16,2.16,6.00,136
9296101947,9296101947,4.00,3.00,3.00,2.00,3.00,120
36210332302,36210332302,5.00,1.90,1.90,0.13,3.00,142
31031028313,31031028313,4.50,3.75,1.00,0.05,6.00,5
3700082025,3700082025,7.99,6.50,5.00,0.70,3.00,57
7295901066,7295901066,6.75,3.00,2.00,0.46,3.00,101
68113177911,68113177911,5.20,2.90,2.90,0.05,2.00,89
1370001661,1370001661,9.70,9.00,4.50,3.80,3.00,124
3890003033,3890003033,6.20,4.00,2.20,1.20,6.00,23
1600015950,1600015950,11.00,8.25,1.78,0.94,8.00,16
7874200986,7874200986,3.39,1.66,1.66,0.04,3.00,16
2800024460,2800024460,8.00,3.70,2.00,1.50,6.00,119
4116758005,4116758005,4.94,4.13,1.25,0.10,4.00,21
7631430201,7631430201,5.38,3.88,2.63,0.79,3.00,8
79452270300,79452270300,8.00,3.75,2.25,2.40,6.00,12
7395024784,7395024784,13.60,6.80,3.50,1.26,2.00,89
68113106518,68113106518,10.88,10.75,6.00,2.40,4.00,2
7874231326,7874231326,9.37,3.39,3.03,1.50,12.00,44
3320011321,3320011321,8.60,3.45,2.55,2.23,6.00,35
30041010505,30041010505,8.98,2.16,0.98,0.12,6.00,131
30045048101,30045048101,3.76,1.92,1.88,0.12,6.00,20
4740030504,4740030504,7.75,4.20,2.12,1.25,3.00,3
30766787750,30766787750,5.20,4.50,3.20,0.60,1.00,6
4119601022,4119601022,4.45,3.45,3.45,1.19,12.00,42
3320000417,3320000417,10.32,3.58,2.61,1.67,4.00,104
7874218148,7874218148,12.13,7.63,2.00,1.13,10.00,123
7965603223,7965603223,9.06,2.16,2.16,0.60,3.00,149
3120020297,3120020297,10.70,6.20,5.70,7.20,6.00,150
30573070530,30573070530,3.75,3.00,0.63,0.07,12.00,86
30067810492,30067810492,4.56,2.75,2.75,0.38,3.00,23
7874209289,7874209289,4.00,3.75,1.27,0.16,6.00,43
7066209633,7066209633,5.00,3.00,0.50,0.20,6.00,79
2791702687,2791702687,6.31,3.19,3.19,0.84,3.00,9
1480000007,1480000007,9.00,3.70,2.70,1.50,12.00,60
1204403957,1204403957,5.75,2.56,2.50,0.62,3.00,15
68113124789,68113124789,5.25,3.88,3.88,0.50,1.00,121
31101710002,31101710002,10.45,3.35,0.25,1.00,6.00,41
4116700404,4116700404,3.25,3.00,1.69,0.11,6.00,5
3600044871,3600044871,8.00,3.31,2.63,0.35,6.00,148
7874223030,7874223030,4.69,4.06,4.06,1.82,6.00,122
7050111047,7050111047,4.10,2.90,2.90,0.41,3.00,134
38137116147,38137116147,4.00,3.00,3.00,2.00,2.00,84
3700077970,3700077970,6.02,1.93,1.61,0.31,6.00,8
88679001887,88679001887,4.00,3.00,3.00,2.00,2.00,21
3120020311,3120020311,10.88,6.14,4.72,7.24,6.00,73
7630187022,7630187022,13.31,8.63,3.13,10.24,1.00,124
30067812406,30067812406,4.94,3.13,1.78,0.27,3.00,94
68113102775,68113102775,6.20,3.00,1.70,0.30,6.00,95
75174603218,75174603218,5.15,5.15,4.65,1.37,4.00,149
3400000185,3400000185,8.34,4.03,2.01,1.47,5.00,135
7395024783,7395024783,12.75,6.63,3.50,1.35,2.00,63
6905585847,6905585847,8.66,2.36,0.71,0.09,6.00,8
3927831510,3927831510,4.75,3.38,1.75,0.18,6.00,21
3600047932,3600047932,9.87,8.66,5.59,2.03,4.00,11
4467720470,4467720470,6.00,5.10,3.42,6.90,2.00,52
2500005676,2500005676,7.00,5.95,4.00,4.50,4.00,114
3600034102,3600034102,13.00,9.50,6.20,3.90,2.00,5
5410001937,5410001937,3.38,3.32,0.31,0.88,12.00,94
7874212195,7874212195,10.94,7.69,2.06,1.59,12.00,92
7874243518,7874243518,4.43,2.31,2.31,0.40,3.00,143
4110080614,4110080614,3.80,3.00,1.50,0.06,3.00,76
31031032499,31031032499,8.05,3.75,2.45,0.25,3.00,97
30149003947,30149003947,7.50,5.90,2.90,2.39,3.00,101
4133393364,4133393364,7.75,4.50,2.50,2.59,12.00,139
68113105752,68113105752,4.25,2.00,2.00,0.12,3.00,121
7166100132,7166100132,8.00,4.30,2.80,2.31,6.00,19
7940051180,7940051180,5.52,2.50,2.25,0.55,6.00,39
3700096271,3700096271,9.37,4.13,2.82,2.40,4.00,44
68113169944,68113169944,5.16,3.00,1.79,0.55,3.00,20
38137003832,38137003832,6.39,2.68,1.46,0.46,6.00,94
1600045602,1600045602,7.25,5.62,1.46,1.06,12.00,102
3676887654,3676887654,16.65,4.00,3.75,1.00,2.00,118
68113113560,68113113560,6.53,4.19,1.61,0.13,3.00,128
68113102952,68113102952,7.06,3.50,1.56,0.71,4.00,7
4116709444,4116709444,8.25,3.38,2.06,1.25,6.00,22
3270014913,3270014913,13.07,8.82,6.82,20.50,2.00,96
68113102712,68113102712,5.75,3.13,2.25,0.99,4.00,4
8392624900,8392624900,6.88,5.13,2.25,1.00,3.00,135
4100002290,4100002290,7.38,5.75,1.25,0.29,12.00,81
5480003080,5480003080,7.28,5.12,1.26,0.57,12.00,37
38137118053,38137118053,8.19,4.25,2.13,1.25,3.00,33
6905583744,6905583744,9.45,2.20,1.34,0.19,4.00,146
3600051393,3600051393,7.28,4.72,2.76,0.54,4.00,5
3120029256,3120029256,6.50,3.00,1.50,0.50,12.00,21
38151903954,38151903954,7.50,1.72,1.72,0.45,3.00,146
3900008663,3900008663,2.50,2.50,2.50,0.29,48.00,130
68113102435,68113102435,7.00,2.56,2.56,1.04,6.00,106
68113105284,68113105284,6.00,1.50,1.50,0.18,6.00,16
8768400097,8768400097,9.50,5.50,3.70,4.30,4.00,110
3120020157,3120020157,10.50,4.50,3.50,4.35,8.00,144
68113107173,68113107173,4.50,2.20,2.20,0.40,3.00,126
2052511019,2052511019,5.25,3.00,3.00,0.50,3.00,15
3890072060,3890072060,6.25,3.75,3.25,3.70,1.00,106
7962507362,7962507362,7.00,4.75,4.75,0.20,9.00,122
4116775142,4116775142,4.00,3.00,3.00,2.00,4.00,100
7680852320,7680852320,7.50,6.50,3.00,2.00,8.00,21
4300021710,4300021710,7.50,4.69,2.31,0.82,6.00,149
7357529500,7357529500,8.20,2.50,2.50,1.40,6.00,128
68113192822,68113192822,5.24,3.37,2.74,0.52,3.00,125
4150000031,4150000031,7.63,3.74,2.31,1.35,12.00,146
3160403159,3160403159,5.13,2.63,2.63,0.45,3.00,128
68113123452,68113123452,4.31,2.31,2.31,0.31,3.00,41
2331773104,2331773104,5.13,3.00,1.44,0.11,6.00,20
68113122832,68113122832,5.95,5.45,1.88,0.61,3.00,39
3500046391,3500046391,7.78,3.66,1.53,0.71,6.00,75
7874206671,7874206671,6.00,6.00,5.70,1.90,6.00,132
35879000030,35879000030,4.72,2.95,2.17,0.07,3.00,29
1740014002,1740014002,7.25,3.25,2.50,0.63,8.00,109
68113157371,68113157371,4.15,1.98,1.98,0.23,3.00,5
3500046946,3500046946,8.42,4.71,1.52,1.25,6.00,95
30299391746,30299391746,3.75,3.68,3.68,1.18,3.00,82
32878550965,32878550965,7.50,2.80,1.20,0.12,3.00,132
3800023153,3800023153,13.44,9.44,3.50,1.82,8.00,35
88491200472,88491200472,9.63,6.34,2.16,1.81,10.00,88
3320094173,3320094173,11.00,9.50,4.50,9.92,3.00,89
4191102050,4191102050,10.00,5.40,2.70,3.07,4.00,18
88348431118,88348431118,9.40,3.45,2.30,1.78,4.00,26
68113128819,68113128819,4.13,2.25,2.25,0.39,4.00,143
68113111126,68113111126,3.44,1.78,1.78,0.13,6.00,13
7874210515,7874210515,9.90,2.75,2.75,1.58,6.00,143
4138820392,4138820392,4.94,3.00,0.75,0.06,6.00,106
3700031484,3700031484,7.28,4.80,3.42,0.38,3.00,31
30045048828,30045048828,3.63,2.28,2.28,0.24,6.00,141
30766775025,30766775025,5.38,4.38,3.13,0.46,1.00,64
7050102810,7050102810,6.66,2.60,1.67,0.56,3.00,63
5200013318,5200013318,10.40,8.80,7.80,14.20,1.00,16
4116701704,4116701704,5.20,2.70,2.00,0.30,3.00,148
89734300135,89734300135,4.70,3.00,2.70,0.20,3.00,149
6905512799,6905512799,4.88,3.35,1.18,0.09,6.00,76
60069966116,60069966116,11.50,7.00,1.75,1.00,12.00,38
60538899945,60538899945,3.48,1.86,1.86,0.14,3.00,58
4116700353,4116700353,5.75,4.25,1.50,0.10,4.00,39
3620001401,3620001401,12.00,8.00,1.40,3.00,6.00,91
4889404716,4889404716,8.70,7.60,5.90,2.65,2.00,65
7007453432,7007453432,5.50,2.30,2.30,0.60,1.00,65
81990301028,81990301028,4.00,3.00,3.00,2.00,3.00,79
7301000915,7301000915,5.67,5.63,2.60,0.44,6.00,103
1027977060,1027977060,8.00,2.36,2.36,0.51,3.00,146
73373930037,73373930037,4.17,1.98,1.98,0.18,3.00,75
2570071016,2570071016,10.51,4.63,3.08,2.34,8.00,2
37168730031,37168730031,3.19,2.75,1.63,0.08,4.00,92
30078042947,30078042947,4.00,1.27,1.27,0.04,3.00,131
2220095456,2220095456,5.30,2.38,2.22,0.29,3.00,82
30045083824,30045083824,2.81,1.72,1.56,0.10,6.00,56
68113117592,68113117592,11.00,9.00,4.75,2.35,2.00,121
31101726200,31101726200,5.75,3.50,1.00,0.10,6.00,25
1370001651,1370001651,9.50,4.70,4.40,2.03,6.00,89
2400039342,2400039342,6.38,3.50,3.25,0.06,6.00,38
68113131255,68113131255,0.31,0.21,0.21,0.43,2.00,82
1650053536,1650053536,5.25,2.88,2.88,0.85,2.00,145
30041082585,30041082585,6.00,2.75,0.81,0.10,6.00,82
2460001041,2460001041,5.50,2.50,2.50,0.78,6.00,58
30065019231,30065019231,3.86,1.76,1.25,0.06,6.00,59
31727055300,31727055300,5.13,1.94,1.71,0.13,24.00,53
76172005820,76172005820,11.39,6.60,5.12,7.95,6.00,100
6414402073,6414402073,4.50,3.00,3.00,1.00,12.00,9
68113177933,68113177933,5.45,4.50,2.80,0.56,3.00,18
6414404342,6414404342,7.63,6.00,3.19,2.26,6.00,149
30132019012,30132019012,3.20,3.20,1.70,0.10,3.00,82
30043900572,30043900572,4.53,2.76,1.97,0.07,3.00,92
30067001624,30067001624,3.50,1.80,1.30,1.00,6.00,65
1780015016,1780015016,12.00,6.00,5.00,6.30,4.00,131
30573245014,30573245014,4.30,3.50,1.80,1.30,4.00,96
3700097722,3700097722,7.24,6.73,5.51,3.31,3.00,56
38137003320,38137003320,7.87,3.35,2.12,1.25,3.00,128
5100020195,5100020195,6.32,5.18,4.25,3.38,4.00,94
7940038641,7940038641,5.52,2.22,1.23,0.24,6.00,100
7050102023,7050102023,6.61,3.03,1.91,0.39,3.00,25
7007467152,7007467152,5.30,5.12,5.12,1.77,4.00,94
63748006514,63748006514,6.00,4.81,4.81,3.17,3.00,58
68113124040,68113124040,14.75,10.13,7.94,4.32,2.00,83
30023341660,30023341660,4.00,3.00,3.00,2.00,3.00,73
2400034346,2400034346,4.44,3.00,3.00,0.94,12.00,80
31011903588,31011903588,6.88,4.75,2.38,1.70,2.00,27
5265100006,5265100006,8.18,3.06,2.00,0.63,6.00,25
4178801933,4178801933,13.50,9.00,5.70,14.28,2.00,23
5113119794,5113119794,9.00,3.75,2.00,0.21,2.00,7
68113129619,68113129619,5.25,5.00,1.06,0.06,8.00,62
4790013010,4790013010,8.75,6.50,3.00,2.20,8.00,95
31074202672,31074202672,7.00,3.00,3.00,0.40,3.00,63
3500046390,3500046390,7.70,3.66,1.53,0.74,6.00,85
1920083722,1920083722,6.50,5.60,1.65,0.22,4.00,130
4950800140,4950800140,12.00,8.00,2.00,0.88,6.00,39
1600015777,1600015777,11.85,7.70,2.10,1.23,6.00,1
3700097332,3700097332,4.51,3.61,0.73,0.04,6.00,148
32586610502,32586610502,3.25,2.00,1.50,0.08,6.00,89
3700025574,3700025574,9.75,3.75,2.25,1.70,10.00,125
1480000529,1480000529,9.56,9.56,4.19,5.01,1.00,46
1300000605,1300000605,7.75,1.75,1.50,2.00,12.00,27
30573301502,30573301502,5.80,5.05,1.65,0.33,3.00,79
2270063230,2270063230,5.66,1.87,0.42,0.01,2.00,20
68113118709,68113118709,3.80,3.80,0.99,0.07,6.00,35
3076876605,3076876605,5.53,2.85,2.83,0.52,3.00,150
8000049527,8000049527,7.00,5.50,0.06,0.40,12.00,75
1440067000,1440067000,11.25,9.73,6.82,11.50,1.00,108
3700087518,3700087518,10.83,9.12,5.61,10.30,4.00,134
7874207381,7874207381,4.50,2.69,1.31,0.11,12.00,148
81000718052,81000718052,4.30,3.25,2.50,0.89,3.00,76
7513711085,7513711085,5.88,3.50,1.50,0.30,2.00,132
1650053503,1650053503,5.00,2.50,2.50,0.60,3.00,97
69702910016,69702910016,8.00,2.75,2.75,1.06,3.00,18
2052591279,2052591279,5.31,2.69,2.00,0.15,3.00,76
37513759550,37513759550,5.63,2.88,1.13,0.04,6.00,79
71919513504,71919513504,9.75,5.38,4.75,4.00,3.00,115
68113107108,68113107108,7.88,3.13,0.75,0.05,6.00,136
2400016717,2400016717,4.44,3.00,3.00,1.13,12.00,37
36373614308,36373614308,3.31,3.00,1.06,0.03,4.00,146
68113192823,68113192823,4.63,2.63,1.56,0.06,3.00,94
30067204524,30067204524,3.00,1.75,1.75,0.10,3.00,115
81751301000,81751301000,8.75,2.15,2.15,0.94,3.00,65
7535398280,7535398280,18.00,3.00,3.00,2.56,4.00,36
4112907700,4112907700,6.75,3.18,3.18,1.50,8.00,136
30573245042,30573245042,4.88,4.25,1.75,0.19,4.00,122
85815800502,85815800502,4.13,3.50,3.50,0.90,3.00,4
81483201588,81483201588,6.06,4.00,3.38,0.78,3.00,75
31031032503,31031032503,1.00,0.44,0.29,2.80,6.00,132
71683724650,71683724650,5.00,2.23,2.23,0.30,3.00,107
8680087025,8680087025,5.07,2.39,1.50,0.22,3.00,119
